AAEXERCICIO,CD_MENSAL,VR_INICIAL,VR_ATUALIZADO,VR_EFETIVADO,VR_ACUMULADO,CD_PAI,NR_NIVEL
"EMPRESA EST. DEPENDENTES",2010,7,0.00,0.00,4993641.76,41556127.22,,1
"FUNDOS",2010,7,0.00,148522.45,339819140.67,2287977568.63,,1
"ADMINISTRACAO DIRETA",2010,8,0.00,8876841.00,3989093192.63,25362940640.63,,1
"ADMINISTRACAO INDIRETA",2010,8,0.00,204342.00,230592062.88,1754753214.47,,1
"EMPRESA EST. DEPENDENTES",2010,8,0.00,0.00,5905255.99,47461383.21,,1
"FUNDOS",2010,8,0.00,0.00,295181034.54,2583158603.17,,1
"ADMINISTRACAO DIRETA",2010,9,0.00,280000.00,3497670706.87,28860611347.50,,1
"ADMINISTRACAO INDIRETA",2010,9,0.00,1732640.00,152361351.55,1907114566.02,,1
"EMPRESA EST. DEPENDENTES",2010,9,0.00,0.00,10019049.62,57480432.83,,1
"FUNDOS",2010,9,0.00,0.00,315089966.80,2898248569.97,,1
"ADMINISTRACAO DIRETA",2010,10,0.00,3203922.00,3029630109.97,31890241457.47,,1
"ADMINISTRACAO INDIRETA",2010,10,0.00,443863.00,173721861.44,2080836427.46,,1
"EMPRESA EST. DEPENDENTES",2010,10,0.00,0.00,3954501.57,61434934.40,,1
"FUNDOS",2010,10,0.00,602765.00,340832541.20,3239081111.17,,1
"ADMINISTRACAO DIRETA",2010,11,0.00,2815000.00,3196649023.32,35086890480.79,,1
"ADMINISTRACAO INDIRETA",2010,11,0.00,425100.00,254239099.71,2335075527.17,,1
"EMPRESA EST. DEPENDENTES",2010,11,0.00,0.00,6026075.64,67461010.04,,1
"FUNDOS",2010,11,0.00,0.00,340277456.57,3579358567.74,,1
"ADMINISTRACAO DIRETA",2010,12,0.00,0.00,4669551367.45,39756441848.24,,1
"ADMINISTRACAO INDIRETA",2010,12,0.00,2013000.00,412277928.27,2747353455.44,,1
"EMPRESA EST. DEPENDENTES",2010,12,0.00,0.00,9393426.03,76854436.07,,1
"FUNDOS",2010,12,0.00,13447774.00,457945058.28,4037303626.02,,1
